atletas.rodada_id,atletas.slug,atletas.clube.id.full.name,atletas.atleta_id,atletas.media_num,atletas.posicao_id,atletas.pontos_num,atletas.variacao_num,atletas.clube_id,atletas.apelido,atletas.nome,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.entrou_em_campo
1,adson,VAS,111682,0,4,0,0,267,Adson,Adson Ferreira Soares,6,6,Adson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,0,False
1,anthoni,INT,111683,0,1,0,0,285,Anthoni,Anthoni Spier Souza,3,6,Anthoni,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,False
1,matheus-cunha,CRU,111690,0,1,0,0,283,Matheus Cunha,Matheus Cunha Queiroz,3,5,M. Cunha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
1,ryan-guilherme,CRU,111757,0,4,0,0,283,Ryan Guilherme,Ryan Guilherme da Silva Pae,2,6,R. Guilherme,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
1,fabinho,RBB,111760,0,4,0,0,280,Fabinho,Fábio Silva de Freitas,4,6,Fabinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,jhonnathan,CHA,111802,0,3,0,0,315,Jhonnathan,Jhonnathan Espedito Coco Wagner,2,6,Jhonnathan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,False
1,kayky,BAH,111829,0,5,0,0,265,Kayky,Kayky da Silva Chagas,5,6,Kayky,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,False
1,matheus-martins,BOT,111831,0,5,0,0,263,Matheus Martins,Matheus Martins Silva dos Santos,5,6,M. Martins,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,False
1,jefte,PAL,111832,0,2,0,0,275,Jefté,Jefté Vital da Silva Dias,4,6,Jefté,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,False
1,mateus-silva,VIT,111879,0,2,0,0,287,Mateus Silva,Mateus da Silva Duarte,3,7,M. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,False
1,diego-hernandez,REM,111945,0,4,0,0,364,Diego Hernández,Diego Manuel Hernández González,4,3,D. Hernández,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,False
1,renzo-lopez,VIT,111951,0,5,0,0,287,Renzo López,Renzo López Patrón,3,5,R. López,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,False
1,felipinho,CAP,112017,0,4,0,0,293,Felipinho,Antonio Feliphe Costa Silva,4,6,Felipinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,False
1,thalisson-gabriel,REM,112367,0,3,0,0,364,Thalisson Gabriel,Thalisson Gabriel Pereira Moreira,3,6,T. Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,False
1,vini-paulista,CFC,112576,0,4,0,0,294,Vini Paulista,Vinicius Romualdo dos Santos,3,6,V. Paulista,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0,False
1,gabriel-grando,GRE,112616,0,1,0,0,284,Gabriel Grando,Gabriel Hamester Grando,4,6,G. Grando,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,False
1,kaiki-bruno,CRU,112709,0,2,0,0,283,Kaiki Bruno,Kaiki Bruno da Silva,14,7,K. Bruno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
